name,status,passed,steps,nl_statement,lean4_code
Rudin_exercise_1_12,success,True,3,"If $z_1, \ldots, z_n$ are complex, prove that $|z_1 + z_2 + \ldots + z_n| \leq |z_1| + |z_2| + \cdots + |z_n|$.","import Mathlib

theorem Rudin_exercise_1_12 {n : ℕ} (zs : Fin n → ℂ) : Complex.abs (∑ i, zs i) ≤ ∑ i, Complex.abs (zs i) := by sorry
"
Rudin_exercise_1_4,success,True,3,Let $E$ be a nonempty subset of an ordered set; suppose $\alpha$ is a lower bound of $E$ and $\beta$ is an upper bound of $E$. Prove that $\alpha \leq \beta$.,"import Mathlib

variable {α : Type _} [Preorder α]

/-- Let E be a nonempty subset of an ordered set; suppose a is a lower bound of E and b is an
upper bound of E. Then a ≤ b. -/
theorem Rudin_exercise_1_4 {E : Set α} (hne : E.Nonempty) {a b : α}
  (ha : ∀ x ∈ E, a ≤ x) (hb : ∀ x ∈ E, x ≤ b) : a ≤ b := by sorry
"
Rudin_exercise_1_8,success,True,4,Prove that no order can be defined in the complex field that turns it into an ordered field.,"import Mathlib

/-!
No order on the complex field makes it into an ordered field.
This states that there is no instance of `LinearOrderedField` on `ℂ`.
-/

theorem Rudin_exercise_1_8 : ¬ Nonempty (LinearOrderedField ℂ) := by sorry
"
Rudin_exercise_1_18b,success,True,3,"If $k = 1$ and $\mathbf{x} \in R^{k}$, prove that there does not exist $\mathbf{y} \in R^{k}$ such that $\mathbf{y} \neq 0$ but $\mathbf{x} \cdot \mathbf{y}=0$","import Mathlib

/-
Exercise: If k = 1 and x ∈ ℝ^k with x ≠ 0, then there does not exist y ∈ ℝ^k such that y ≠ 0 but x · y = 0.
Interpreting ℝ^1 as ℝ with dot product being multiplication.
-/

theorem Rudin_exercise_1_18b (x : ℝ) (hx : x ≠ 0) : ∀ y : ℝ, x * y = 0 → y = 0 := by sorry
"
Rudin_exercise_2_27b,success,True,3,"Suppose $E\subset\mathbb{R}^k$ is uncountable, and let $P$ be the set of condensation points of $E$. Prove that at most countably many points of $E$ are not in $P$.","import Mathlib

open Set Metric

/-- A point x is a condensation point of E if every open ball around x contains uncountably many points of E. -/
def IsCondensationPoint {k : ℕ} (E : Set (Fin k → ℝ)) (x : Fin k → ℝ) : Prop :=
  ∀ r : ℝ, 0 < r → ¬ (Metric.ball x r ∩ E).Countable

/-- Rudin exercise 2.27(b): if E ⊆ ℝ^k is uncountable and P is the set of condensation points of E,
    then at most countably many points of E are not in P. -/
theorem rudin_exercise_2_27b (k : ℕ) (E : Set (Fin k → ℝ)) (hE : ¬ E.Countable) :
  (E \ {x | IsCondensationPoint E x}).Countable := by sorry
"
Rudin_exercise_2_25,success,True,4,Prove that every compact metric space $K$ has a countable base.,"import Mathlib
open Set Filter Topology

/-- Prove that every compact metric space K has a countable base. -/
theorem secondCountable_of_compact (K : Type*) [MetricSpace K] [CompactSpace K] : SecondCountableTopology K := by sorry
"
Rudin_exercise_1_14,success,True,4,"If $z$ is a complex number such that $|z|=1$, that is, such that $z \bar{z}=1$, compute $|1+z|^{2}+|1-z|^{2}$.","import Mathlib

open Complex

theorem Rudin_exercise_1_14 (z : ℂ) (h : Complex.abs z = 1) :
  (Complex.abs (1 + z))^2 + (Complex.abs (1 - z))^2 = 4 := by sorry
"
Rudin_exercise_1_17,success,True,3,Prove that $|\mathbf{x}+\mathbf{y}|^{2}+|\mathbf{x}-\mathbf{y}|^{2}=2|\mathbf{x}|^{2}+2|\mathbf{y}|^{2}$ if $\mathbf{x} \in R^{k}$ and $\mathbf{y} \in R^{k}$.,"import Mathlib
open BigOperators

/-- Squared norm for vectors in R^k represented as Fin k → ℝ. -/
def sq_norm {k : ℕ} (v : Fin k → ℝ) : ℝ := ∑ i : Fin k, (v i) ^ 2

theorem Rudin_exercise_1_17 {k : ℕ} (x y : Fin k → ℝ) :
  sq_norm (fun i => x i + y i) + sq_norm (fun i => x i - y i) = 2 * sq_norm x + 2 * sq_norm y := by
  sorry
"
Rudin_exercise_1_1b,success,True,5,"If $r$ is rational $(r \neq 0)$ and $x$ is irrational, prove that $rx$ is irrational.","import Mathlib

/-- If r is rational (r ≠ 0) and x is irrational, then r * x is irrational. -/
theorem rat_mul_irrational {r : ℚ} (hr : r ≠ 0) {x : ℝ} (hx : Irrational x) : Irrational ((r : ℝ) * x) := by sorry
"
Rudin_exercise_2_19a,success,True,5,"If $A$ and $B$ are disjoint closed sets in some metric space $X$, prove that they are separated.","import Mathlib

open Set

theorem Rudin_exercise_2_19a {X : Type _} [MetricSpace X] {A B : Set X}
  (hA : IsClosed A) (hB : IsClosed B) (hdisj : A ∩ B = ∅) :
  (closure A ∩ B = ∅) ∧ (A ∩ closure B = ∅) := by sorry
"
